sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,rent_price,buy_price,built_year,has_individual_heating,has_central_heating,house_type_HouseType 1: Pisos,house_type_HouseType 2: Casa o chalet,house_type_HouseType 4: Dúplex,house_type_HouseType 5: Áticos
-0.7796610169491526,-0.6728624535315986,-0.7142857142857143,-0.6666666666666667,-1.0,1174,-0.914822266934943,0.9883040935672514,1.0,0.0,True,False,False,False
-0.8785310734463276,-0.8029739776951673,-0.5714285714285714,-1.0,-0.7777777777777778,658,-0.9691482226693494,0.3801169590643274,1.0,0.0,True,False,False,False
-0.7570621468926554,-0.6654275092936803,-0.4285714285714286,-1.0,-0.5555555555555556,1161,-0.9164989939637826,0.21637426900584789,0.0,1.0,True,False,False,False
-0.39830508474576276,-0.241635687732342,-0.4285714285714286,-0.6666666666666667,-0.5555555555555556,2514,-0.6934942991281019,-0.6491228070175439,1.0,0.0,True,False,False,False
-0.9745762711864406,-0.9070631970260223,-0.8571428571428572,-1.0,-0.7777777777777778,408,-0.9879275653923542,0.05263157894736836,1.0,0.0,True,False,False,False
-0.24293785310734461,-0.06691449814126393,-0.2857142857142857,0.33333333333333326,-0.7777777777777778,-9067,-0.4419852448021462,0.5321637426900585,0.0,1.0,True,False,False,False
-0.768361581920904,-0.654275092936803,-0.5714285714285714,-0.33333333333333337,-0.7777777777777778,1323,-0.8947015425888665,0.7426900584795322,1.0,0.0,True,False,False,False
-0.7090395480225988,-0.5947955390334573,-0.5714285714285714,-1.0,-0.7777777777777778,1712,-0.8376928236083165,0.35672514619883033,0.0,1.0,True,False,False,False
-0.9350282485875706,-0.8438661710037174,-0.7142857142857143,-1.0,-1.0,777,-0.9587525150905433,-0.06432748538011701,1.0,0.0,False,False,True,False
-0.7740112994350282,-0.7174721189591078,-0.5714285714285714,-0.6666666666666667,-0.33333333333333337,1122,-0.9215291750503019,0.7076023391812865,1.0,0.0,True,False,False,False
-0.7203389830508475,-0.6171003717472119,-0.5714285714285714,-0.33333333333333337,0.11111111111111116,1735,-0.8343393695506371,0.26315789473684204,0.0,1.0,True,False,False,False
-0.8813559322033898,-0.8029739776951673,-0.7142857142857143,-1.0,-0.7777777777777778,897,-0.9470154258886653,0.39181286549707606,1.0,0.0,True,False,False,False
-0.8361581920903955,-0.7843866171003717,-0.7142857142857143,-1.0,-0.7777777777777778,1052,-0.9299128101945003,0.8245614035087718,1.0,0.0,True,False,False,False
-0.9293785310734464,-0.8847583643122676,-0.8571428571428572,-1.0,0.5555555555555556,1204,-0.9108987256874581,0.8362573099415205,1.0,0.0,True,False,False,False
-0.7090395480225988,-0.5799256505576208,-0.4285714285714286,-0.6666666666666667,-0.7777777777777778,1083,-0.926224010731053,0.6257309941520468,1.0,0.0,True,False,False,False
-0.4350282485875706,-0.2565055762081785,-0.4285714285714286,-0.33333333333333337,1.0,2181,-0.7689470154258886,0.3450292397660819,0.0,1.0,True,False,False,False
